Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,District
Virginia Foxx ,Rep,3-Jan-05,VirginiaFoxx,VirginiaFoxx,VirginiaFoxx,VirginiaFoxx,NC-5
Mark Walker ,Rep,3-Jan-15,RepMarkWalker,RepMarkWalker,RepMarkWalker,RepMarkWalker,NC-6
David Rouzer ,Rep,3-Jan-15,RepDavidRouzer,RepDavidRouzer,RepDavidRouzer,RepDavidRouzer,NC-7
Richard Hudson ,Rep,3-Jan-13,RepRichHudson,RepRichHudson,RepRichHudson,RepRichHudson,NC-8
Kelly Armstrong ,Rep,3-Jan-19,RepArmstrongND,RepArmstrongND,RepArmstrongND,RepArmstrongND,ND-0
Jeff Fortenberry ,Rep,3-Jan-05,JeffFortenberry,JeffFortenberry,JeffFortenberry,JeffFortenberry,NE-1
Don Bacon ,Rep,3-Jan-17,repdonbacon,repdonbacon,repdonbacon,repdonbacon,NE-2
Adrian Smith ,Rep,3-Jan-07,RepAdrianSmith,RepAdrianSmith,RepAdrianSmith,RepAdrianSmith,NE-3
Chris Pappas ,Rep,3-Jan-19,RepChrisPappas,RepChrisPappas,RepChrisPappas,RepChrisPappas,NH-1
Ann McLane Kuster,Rep,3-Jan-13,RepAnnieKuster,RepAnnieKuster,RepAnnieKuster,RepAnnieKuster,NH-2
Donald Norcross ,Rep,12-Nov-14,DonaldNorcross,DonaldNorcross,DonaldNorcross,DonaldNorcross,NJ-1
Donald Payne Jr.,Rep,15-Nov-12,RepDonaldPayne,RepDonaldPayne,RepDonaldPayne,RepDonaldPayne,NJ-10
Mikie Sherrill ,Rep,3-Jan-19,RepSherrill,RepSherrill,RepSherrill,RepSherrill,NJ-11
Bonnie Watson Coleman,Rep,3-Jan-15,RepBonnie,RepBonnie,RepBonnie,RepBonnie,NJ-12
Jeff Van Drew,Rep,3-Jan-19,CongressmanJVD,CongressmanJVD,CongressmanJVD,CongressmanJVD,NJ-2
Andy Kim ,Rep,3-Jan-19,RepAndyKimNJ,RepAndyKimNJ,RepAndyKimNJ,RepAndyKimNJ,NJ-3
Christopher Smith ,Rep,3-Jan-81,RepChrisSmith,RepChrisSmith,RepChrisSmith,RepChrisSmith,NJ-4
Josh Gottheimer ,Rep,3-Jan-17,RepJoshG,RepJoshG,RepJoshG,RepJoshG,NJ-5
Frank Pallone ,Rep,3-Jan-19,FrankPallone,FrankPallone,FrankPallone,FrankPallone,NJ-6
Tom Malinowski ,Rep,3-Jan-19,RepMalinowski,RepMalinowski,RepMalinowski,RepMalinowski,NJ-7
Albio Sires ,Rep,3-Jan-13,RepSires,RepSires,RepSires,RepSires,NJ-8
Bill Pascrell ,Rep,3-Jan-13,BillPascrell,BillPascrell,BillPascrell,BillPascrell,NJ-9
Deb Haaland ,Rep,3-Jan-19,RepDebHaaland,RepDebHaaland,RepDebHaaland,RepDebHaaland,NM-1
Xochitl Torres Small,Rep,3-Jan-19,RepTorresSmall,RepTorresSmall,RepTorresSmall,RepTorresSmall,NM-2
Ben Ray Luján,Rep,3-Jan-09,RepBenRayLujan,RepBenRayLujan,RepBenRayLujan,RepBenRayLujan,NM-3
Dina Titus ,Rep,3-Jan-13,RepDinaTitus,RepDinaTitus,RepDinaTitus,RepDinaTitus,NV-1
Mark Amodei ,Rep,13-Sep-11,MarkAmodeiNV2,MarkAmodeiNV2,MarkAmodeiNV2,MarkAmodeiNV2,NV-2
Susie Lee ,Rep,3-Jan-19,RepSusieLee,RepSusieLee,RepSusieLee,RepSusieLee,NV-3
Steven Horsford ,Rep,3-Jan-19,RepHorsford,RepHorsford,RepHorsford,RepHorsford,NV-4
Lee Zeldin ,Rep,3-Jan-15,RepLeeZeldin,RepLeeZeldin,RepLeeZeldin,RepLeeZeldin,NY-1
Jerrold Nadler ,Rep,3-Nov-92,RepJerryNadler,RepJerryNadler,RepJerryNadler,RepJerryNadler,NY-10
Max Rose ,Rep,3-Jan-19,RepMaxRose,RepMaxRose,RepMaxRose,RepMaxRose,NY-11
Carolyn Maloney ,Rep,3-Jan-93,RepMaloney,RepMaloney,RepMaloney,RepMaloney,NY-12
Adriano Espaillat ,Rep,3-Jan-17,RepEspaillat,RepEspaillat,RepEspaillat,RepEspaillat,NY-13
Alexandria Ocasio-Cortez ,Rep,3-Jan-19,RepAOC,RepAOC,RepAOC,RepAOC,NY-14
José E. Serrano,Rep,21-Mar-90,RepJoseSerrano,RepJoseSerrano,RepJoseSerrano,RepJoseSerrano,NY-15
Eliot Engel ,Rep,3-Jan-89,RepEliotEngel,RepEliotEngel,RepEliotEngel,RepEliotEngel,NY-16
Nita Lowey ,Rep,3-Jan-89,NitaLowey,NitaLowey,NitaLowey,NitaLowey,NY-17
Sean Patrick Maloney,Rep,3-Jan-13,RepSeanMaloney,RepSeanMaloney,RepSeanMaloney,RepSeanMaloney,NY-18
